"#T in K" "sigma * R_H in 1/T"
93.149999999999977 7157.3361522198729
103.14999999999998 7968.4173505275512
113.14999999999998 8592.8337531486159
123.14999999999998 8906.6230366492146
133.14999999999998 8913.412698412696
143.14999999999998 8638.0729166666661
153.14999999999998 8157.8266331658288
163.14999999999998 7557.2727272727288
173.14999999999998 6928.4371460928651
183.14999999999998 6290.458422174841
193.14999999999998 5687.4348697394789
203.14999999999998 5170.5597722960156
213.14999999999998 4694.9596412556057
223.14999999999998 4303.8494439692049
233.14999999999998 3967.299509001637
243.14999999999998 3647.3427672955977
253.14999999999998 3350.183346065699
263.14999999999998 3025.7971014492755
273.14999999999998 2694.3965517241381
283.14999999999998 2307.5172413793107
293.14999999999998 1957.5229357798166
303.14999999999998 1669.5370370370372
313.14999999999998 1433.7316176470588
323.14999999999998 1355.383104125737
333.14999999999998 1261.3656387665199
343.14999999999998 1180.0867052023125
353.14999999999998 1117.6868327402135
362.54999999999995 1068.2572614107887
373.84999999999997 1005.7068062827225
382.54999999999995 955.33707865168549
393.94999999999999 896.853146853147
403.75 850.4761904761906
413.25 797.68595041322305
422.25 745.38461538461547
