#Frequenz Hz, Amplitude in muA, Phase in °

1,000000 252,842636 16,254549
5,000000 225,977386 -0,907907
10,000000 215,495728 -6,109819
15,000375 207,875626 -9,086971
20,000000 202,141998 -11,558201
35,001751 190,796143 -14,405628
40,000000 183,276657 -15,391524
50,000000 178,063339 -17,090899
74,990623 165,520691 -20,288576
100,000000 155,405853 -22,344688
119,976006 147,246735 -23,745699
150,037506 139,086395 -25,010498
200,000000 128,800003 -28,149797
299,850067 113,048935 -31,749615
350,262695 107,203278 -32,502007
500,000000 94,730209 -37,301762
638,977661 85,617126 -41,251823
800,000000 77,863113 -43,593327
1000,000000 70,109940 -46,907745
1197,604736 63,414181 -49,703278
1398,601440 58,243214 -52,200443
1600,000000 53,940670 -54,295471
2000,000000 46,941738 -58,310394
2500,000000 40,132053 -62,059391
2985,074707 35,558445 -64,601959
3703,703613 30,183462 -67,955299
