# Oscilloscope file ./20160704_122135.bin
# Channel 1
Time / s;Voltage / V
0;5.2
0.5;5.2
1;5.2
1.5;5.24
2;5.2
2.5;5.2
3;5.2
3.5;5.2
4;5.2
4.5;5.2
5;5.2
5.5;5.24
6;5.2
6.5;5.24
7;5.2
7.5;5.24
8;5.16
8.5;5.2
9;5.2
9.5;5.24
10;5.2
10.5;5.2
11;5.2
11.5;5.24
12;5.2
12.5;5.2
13;5.2
13.5;5.24
14;5.2
14.5;5.2
15;5.2
15.5;5.24
16;5.2
16.5;5.2
17;5.2
17.5;5.2
18;5.16
18.5;5.16
19;5.2
19.5;5.24
20;5.2
20.5;5.24
21;5.2
21.5;5.24
22;5.2
22.5;5.24
23;5.2
23.5;5.24
24;5.2
24.5;5.2
25;5.2
25.5;5.24
26;5.2
26.5;5.2
27;5.2
27.5;5.2
28;5.2
28.5;5.2
29;5.2
29.5;5.2
30;5.2
30.5;5.2
31;5.2
31.5;5.2
32;5.2
32.5;5.2
33;5.2
33.5;5.24
34;5.16
34.5;5.2
35;5.24
35.5;5.24
36;5.2
36.5;5.2
37;5.24
37.5;5.24
38;5.2
38.5;5.2
39;5.2
39.5;5.24
40;5.2
40.5;5.2
41;5.2
41.5;5.24
42;5.2
42.5;5.2
43;5.24
43.5;5.24
44;5.2
44.5;5.24
45;5.2
45.5;5.2
46;5.2
46.5;5.2
47;5.2
47.5;5.2
48;5.2
48.5;5.2
49;5.2
49.5;5.2
50;5.16
50.5;5.2
51;5.2
51.5;5.2
52;5.2
52.5;5.2
53;5.2
53.5;5.2
54;5.16
54.5;5.16
55;5.2
55.5;5.2
56;5.16
56.5;5.16
57;5.16
57.5;5.2
58;5.12
58.5;5.16
59;5.16
59.5;5.16
60;5.12
60.5;5.12
61;5.12
61.5;5.16
62;5.12
62.5;5.12
63;5.12
63.5;5.16
64;5.12
64.5;5.12
65;5.12
65.5;5.12
66;5.08
66.5;5.12
67;5.12
67.5;5.12
68;5.08
68.5;5.08
69;5.08
69.5;5.08
70;5.04
70.5;5.08
71;5.04
71.5;5.08
72;5.04
72.5;5.04
73;5.08
73.5;5.08
74;5.04
74.5;5.04
75;5.04
75.5;5.04
76;5.04
76.5;5.04
77;5.04
77.5;5.04
78;5
78.5;5
79;5.04
79.5;5.04
80;4.96
80.5;5
81;5
81.5;5
82;4.96
82.5;5
83;5
83.5;5
84;4.96
84.5;4.96
85;4.96
85.5;5
86;4.96
86.5;4.96
87;4.96
87.5;4.96
88;4.96
88.5;4.96
89;4.96
89.5;4.96
90;4.92
90.5;4.92
91;4.96
91.5;4.96
92;4.92
92.5;4.92
93;4.92
93.5;4.92
94;4.92
94.5;4.92
95;4.92
95.5;4.92
96;4.88
96.5;4.88
97;4.88
97.5;4.88
98;4.84
98.5;4.88
99;4.88
99.5;4.88
100;4.84
100.5;4.88
101;4.84
101.5;4.88
102;4.84
102.5;4.84
103;4.84
103.5;4.84
104;4.8
104.5;4.84
105;4.84
105.5;4.84
106;4.8
106.5;4.84
107;4.8
107.5;4.84
108;4.8
108.5;4.8
109;4.8
109.5;4.8
110;4.76
110.5;4.76
111;4.76
111.5;4.8
112;4.76
112.5;4.76
113;4.76
113.5;4.8
114;4.72
114.5;4.76
115;4.76
115.5;4.76
116;4.72
116.5;4.72
117;4.76
117.5;4.76
118;4.72
118.5;4.72
119;4.72
119.5;4.76
120;4.68
120.5;4.72
121;4.68
121.5;4.72
122;4.68
122.5;4.68
123;4.72
123.5;4.72
124;4.68
124.5;4.68
125;4.68
125.5;4.72
126;4.64
126.5;4.68
127;4.64
127.5;4.68
128;4.64
128.5;4.68
129;4.68
129.5;4.68
130;4.64
130.5;4.64
131;4.64
131.5;4.64
132;4.6
132.5;4.64
133;4.64
133.5;4.64
134;4.6
134.5;4.6
135;4.64
135.5;4.64
136;4.6
136.5;4.6
137;4.6
137.5;4.6
138;4.56
138.5;4.6
139;4.56
139.5;4.6
140;4.56
140.5;4.56
141;4.56
141.5;4.6
142;4.56
142.5;4.56
143;4.56
143.5;4.56
144;4.52
144.5;4.52
145;4.56
145.5;4.56
146;4.52
146.5;4.52
147;4.52
147.5;4.52
148;4.52
148.5;4.52
149;4.52
149.5;4.52
150;4.48
150.5;4.52
151;4.48
151.5;4.52
152;4.48
152.5;4.48
153;4.48
153.5;4.48
154;4.44
154.5;4.44
155;4.44
155.5;4.48
156;4.44
156.5;4.44
157;4.44
157.5;4.44
158;4.4
158.5;4.44
159;4.44
159.5;4.44
160;4.4
160.5;4.44
161;4.4
161.5;4.44
162;4.4
162.5;4.4
163;4.4
163.5;4.44
164;4.4
164.5;4.4
165;4.4
165.5;4.4
166;4.36
166.5;4.4
167;4.4
167.5;4.4
168;4.36
168.5;4.36
169;4.36
169.5;4.36
170;4.36
170.5;4.36
171;4.36
171.5;4.36
172;4.32
172.5;4.32
173;4.36
173.5;4.36
174;4.32
174.5;4.36
175;4.32
