# Oscilloscope file ./20160704_104434.bin
# Channel 1
Time / s;Voltage / V
0;0
0.5;0
1;0
1.5;0
2;-0.04
2.5;0
3;0
3.5;0
4;-0.04
4.5;-0.04
5;0
5.5;0
6;-0.04
6.5;-0.04
7;0
7.5;0
8;-0.04
8.5;0
9;-0.04
9.5;0
10;-0.04
10.5;0
11;0
11.5;0
12;0
12.5;0
13;0
13.5;0.04
14;-0.04
14.5;0
15;0
15.5;0.04
16;0
16.5;0
17;0
17.5;0
18;-0.04
18.5;0
19;-0.04
19.5;0.04
20;-0.04
20.5;0
21;0
21.5;0
22;0
22.5;0
23;0
23.5;0
24;-0.04
24.5;0
25;0
25.5;0
26;-0.04
26.5;0
27;0
27.5;0
28;-0.04
28.5;-0.04
29;0
29.5;0
30;-0.04
30.5;0
31;0
31.5;0.04
32;-0.04
32.5;0
33;0
33.5;0
34;-0.04
34.5;-0.04
35;0
35.5;0
36;-0.04
36.5;0
37;0
37.5;0
38;0
38.5;0
39;0
39.5;0
40;0
40.5;0
41;0
41.5;0
42;-0.04
42.5;0
43;0
43.5;0
44;-0.04
44.5;-0.04
45;0
45.5;0.04
46;0
46.5;0
47;0
47.5;0
48;-0.04
48.5;0
49;0
49.5;0
50;-0.04
50.5;0
51;0
51.5;0
52;-0.04
52.5;-0.04
53;0
53.5;0
54;-0.04
54.5;0
55;0
55.5;0
56;-0.04
56.5;0
57;0
57.5;0
58;-0.04
58.5;0
59;0
59.5;0
60;-0.04
60.5;0
61;0
61.5;0
62;-0.04
62.5;-0.04
63;0
63.5;0
64;0
64.5;0
65;0
65.5;0
66;-0.04
66.5;0
67;0
67.5;0
68;0
68.5;0
69;-0.04
69.5;0
70;-0.04
70.5;0
71;0
71.5;0.04
72;-0.04
72.5;-0.04
73;0
73.5;0
74;-0.04
74.5;0
75;0
75.5;0
76;0
76.5;0
77;0
77.5;0
78;0
78.5;0
79;0
79.5;0.04
80;0
80.5;0.04
81;0.04
81.5;0.04
82;0
82.5;0.04
83;0.04
83.5;0.08
84;0.04
84.5;0.08
85;0.04
85.5;0.08
86;0.04
86.5;0.04
87;0.08
87.5;0.08
88;0.04
88.5;0.08
89;0.08
89.5;0.12
90;0.08
90.5;0.12
91;0.12
91.5;0.12
92;0.08
92.5;0.12
93;0.12
93.5;0.16
94;0.12
94.5;0.12
95;0.12
95.5;0.16
96;0.12
96.5;0.12
97;0.12
97.5;0.16
98;0.12
98.5;0.16
99;0.16
99.5;0.2
100;0.12
100.5;0.2
101;0.16
101.5;0.2
102;0.16
102.5;0.2
103;0.2
103.5;0.2
104;0.16
104.5;0.2
105;0.2
105.5;0.24
106;0.2
106.5;0.24
107;0.24
107.5;0.24
108;0.2
108.5;0.2
109;0.24
109.5;0.24
110;0.24
110.5;0.24
111;0.24
111.5;0.28
112;0.24
112.5;0.28
113;0.24
113.5;0.28
114;0.24
114.5;0.28
115;0.28
115.5;0.32
116;0.28
116.5;0.28
117;0.28
117.5;0.32
118;0.28
118.5;0.32
119;0.32
119.5;0.32
120;0.28
120.5;0.32
121;0.32
121.5;0.32
122;0.32
122.5;0.32
123;0.32
123.5;0.36
124;0.32
124.5;0.36
125;0.36
125.5;0.36
126;0.36
126.5;0.36
127;0.4
127.5;0.4
128;0.36
128.5;0.36
129;0.4
129.5;0.4
130;0.36
130.5;0.4
131;0.4
131.5;0.44
132;0.4
132.5;0.4
133;0.4
133.5;0.44
134;0.4
134.5;0.4
135;0.44
135.5;0.48
136;0.4
136.5;0.44
137;0.44
137.5;0.48
138;0.4
138.5;0.44
139;0.48
139.5;0.48
140;0.44
140.5;0.48
141;0.44
141.5;0.48
142;0.44
142.5;0.48
143;0.48
143.5;0.52
144;0.48
144.5;0.52
145;0.48
145.5;0.52
146;0.48
146.5;0.52
147;0.52
147.5;0.52
148;0.52
